Name,Lat,Long,Rating,Price_Level,Place_ID
Mission Chinese Food,40.7138638,-73.9896787,4.0,2.0,ChIJ8RGuUoFZwokRwXIRS4LyjXc
Wildair,40.7200288,-73.9891537,3.7,2.0,ChIJQf5DyoZZwokRv0KXQOlnyDI
Russ & Daughters Cafe,40.7196729,-73.9896809,4.6,2.0,ChIJ53yq2oZZwokRqIHSP4qZT3o
Balthazar,40.722655,-73.998372,4.2,3.0,ChIJt7fMLIlZwokRCRtM9bNDg78
Lure Fishbar,40.7246651,-73.9982612,4.0,3.0,ChIJgS2D-o5ZwokRgS5knl8ipzI
Uncle Boons,40.7212894,-73.994373,4.6,2.0,ChIJ5dgFHIZZwokRlGU38pcvZdU
Estela,40.7246413,-73.994739,4.6,3.0,ChIJf3f-f4VZwokRcBCEciTOGRQ
Emilio's Ballato,40.7246191,-73.9945239,4.7,3.0,ChIJRQqJgYVZwokRfJB16sxh1Pg
Katz's Deli,40.7222582,-73.9874166,4.0,2.0,ChIJCar0f49ZwokR6ozLV-dHNTE
Lafayette Grand Café & Bakery,40.7275934,-73.9937017,4.1,3.0,ChIJBVtTt5pZwokR48CgdYqHma8
Oiji,40.727263,-73.985845,4.2,3.0,ChIJ9_VJHp1ZwokRRhe-9rLmBb8
Momofuku Noodle Bar,40.7292372,-73.9845058,4.0,2.0,ChIJkXQ3_INZwokRE74ZvG46Jjc
Fedora,40.7345465,-74.0028199,4.2,3.0,ChIJFWthXZRZwokRlr_SqyfeCa4
The Spotted Pig,40.7356354,-74.006691,4.1,3.0,ChIJ89yJLetZwokRbzTj3_V2LAE
Santina,40.7396079,-74.008443,3.9,3.0,ChIJ0184O8BZwokRn7Xj3YHRnGs
Toro,40.7431839,-74.008228,4.1,2.0,ChIJK1j_xcBZwokR1swlgiseyFM
Gramercy Tavern,40.7384596,-73.9885037,4.6,4.0,ChIJvSQIgqFZwokRFYQbJdzceSs
Cosme,40.7396162,-73.9883565,4.4,2.0,ChIJT-gYZKFZwokR7O8LLYuYMjU
The NoMad,40.7449586,-73.9885113,4.6,4.0,ChIJ-eorCqZZwokRQktxkq1xNfs
Upland,40.7418346,-73.9848395,4.4,2.0,ChIJWVD7FadZwokRs_pS6XY7VOU
Kang Ho Dong Baekjeong,40.747022,-73.9850161,4.2,3.0,ChIJGbyHW6hZwokRIGp7M62XV3E
Torishin,40.7650392,-73.987167,4.2,,ChIJlUslZldYwokRcn6kVUP-9Io
Gabriel Kreuther,40.7545385,-73.9824993,4.4,3.0,ChIJw_TGEwBZwokR-zLts543O-4
Amali,40.7633402,-73.9685995,4.0,3.0,ChIJB6L7g-9YwokRTm44C_ToKdw
Tanoshi Sushi Sake Bar,40.767587,-73.952841,4.4,2.0,ChIJd35w0MZYwokR7LgKqfX4tXM
Bar Boulud,40.771904,-73.981955,4.0,3.0,ChIJG8Pwm_VYwokRtPc8Rwrhdpg
The Cecil,40.8047705,-73.952519,3.7,2.0,ChIJoUvcXRH2wokRAhEdgCkJpKQ
Temple Canteen,40.7526288,-73.8164969,4.4,2.0,ChIJK2i9vj9gwokRmSSSQPoeGb8
Fu Run Restaurant,40.758655,-73.831564,4.3,2.0,ChIJ1wLjcg5gwokRmXhoMjydiAk
Casa Enrique,40.7434123,-73.9542376,4.5,2.0,ChIJv4bbdSNZwokRCgKfDGF8az8
St. Anselm,40.7142631,-73.9560616,4.5,2.0,ChIJc3Sn6BNewokR_RkenZvQhlM
Diner,40.7106879,-73.9655837,4.2,2.0,ChIJvzYmKtlbwokRHye6SmfknDM
Peter Luger Steak House,40.709819,-73.962467,4.2,4.0,ChIJR_bK295bwokR8gM6QgEdmkY
Roberta's,40.7050766,-73.9335923,4.4,2.0,ChIJ87Mc5wBcwokRAj4JNcwppaE
Emily,40.6835738,-73.9664376,4.4,2.0,ChIJYeJEs6RbwokRI9OjBP6hYG8
La Vara,40.6878015,-73.9957536,4.4,3.0,ChIJVT21BE9awokR_TVyGHmHvtU
Prime Meats,40.6771731,-73.9981789,4.4,2.0,ChIJL6umNvZawokRxk4izXzG9A4
Hometown Bar-B-Que,40.674858,-74.016021,4.5,2.0,ChIJ0VWwJI9awokRoiFWFqYZMQ8
ABC Cocina,40.7379803,-73.9892841,4.1,3.0,ChIJM_l7L6JZwokRl65Tmre0xm8
Alder,40.7297315,-73.9871813,3.9,3.0,ChIJUwK-QJxZwokRxqfh2Yp6r-s
American Cut,40.7191028,-74.0100227,4.5,4.0,ChIJv-a4KB5awokR6TLKvHwGqQE
Aska,40.7217263,-73.9582683,4.3,3.0,ChIJUwatTl1ZwokRUDXxYoFa-hk
Betony,40.7641992,-73.9762526,4.4,3.0,ChIJqwPcpvBYwokRIaJmBY0yS6Q
Breads Bakery,40.736609,-73.9917735,4.5,2.0,ChIJcWebfphZwokRRrPNZD7byJw
The Butterfly,40.719213,-74.006064,4.3,2.0,ChIJWVSLropZwokRyRI_tnrkE4s
Carbone,40.7279756,-74.0002192,4.3,4.0,ChIJmSvG_ZFZwokRTOFeiLXzkmA
Cata,40.722637,-73.9927903,3.9,2.0,ChIJ04Biw4VZwokRjdfhoEHYIYI
Charlie Bird,40.7277293,-74.0029058,4.2,2.0,ChIJe_ZBhY1ZwokRGAEwGLWYpA8
Costata,40.7252995,-74.0037037,4.3,4.0,ChIJNefSV4xZwokRBFVvXhX3LUg
Dominique Ansel Bakery,40.7252094,-74.002946,4.3,,ChIJP0KOWoxZwokRmvPiQAIaH1A
Dover,40.680113,-73.9971229,4.1,3.0,ChIJHZHe_q9cwokRLp3Yjj3BjxM
The East Pole Kitchen & Bar,40.7662994,-73.9657144,3.9,3.0,ChIJbY3-ye5YwokRWOG8XH8DqSw
Eleven Madison Park,40.74169,-73.9872068,4.6,4.0,ChIJEWbXz6ZZwokRLKmKrtPfVFY
The Elm,40.7209522,-73.9556741,4.2,2.0,ChIJq7ijyFxZwokRHmhIYot48d0
Empellón Cocina,40.7267982,-73.9862868,4.5,3.0,ChIJt2oI2ZxZwokRrAJvZb7wPSM
Franny's,40.6759502,-73.9718375,3.9,2.0,ChIJFfWdcahbwokRn3GElHMDJog
Glasserie,40.737722,-73.9561763,4.6,2.0,ChIJf9j4STxZwokRc9PDhX2eoHw
Han Dynasty,40.7322262,-73.9882804,4.5,1.0,ChIJx3Nrt55ZwokRP3Xiw0TGnKE
