,Name,Lat,Long,Rating,Price_Level,Place_ID,grid,counts,bur,percent,scaled
0,M. Wells Steakhouse,40.7485158,-73.9422488,4.1,3.0,ChIJGQFa8SlZwokRjkygUnetCuc,"(252, 216)",178,Queens,61.5916955017,2.22151067142
1,Casa Enrique,40.7434123,-73.9542376,4.5,2.0,ChIJv4bbdSNZwokRCgKfDGF8az8,"(243, 212)",68,Queens,23.5294117647,0.848666998071
2,Peter Luger Steak House,40.709819,-73.962467,4.2,4.0,ChIJR_bK295bwokR8gM6QgEdmkY,"(236, 185)",224,Brooklyn,12.2672508215,2.22151067142
3,St. Anselm,40.7142631,-73.9560616,4.5,2.0,ChIJc3Sn6BNewokR_RkenZvQhlM,"(241, 188)",188,Brooklyn,10.295728368,1.86448217065
4,The Alcove Restaurant,40.745889,-73.9151262,4.8,0.0,ChIJ0b9gfCBfwokRTfIxngqx190,"(274, 214)",26,Queens,8.99653979239,0.324490322792
5,The Long Island Bar,40.6907535,-73.9962953,4.6,2.0,ChIJG-GNokVawokRw5Wz0_cHxbU,"(209, 170)",128,Brooklyn,7.00985761227,1.26943466938
6,CUPER,40.7040695,-73.9869653,4.2,0.0,ChIJVVjfNzJawokROTYIPIMy7l8,"(217, 180)",114,Brooklyn,6.24315443593,1.13059025242
7,Luksus,40.7234209,-73.9507884,4.4,4.0,ChIJlaFjTURZwokRvsN6V805OEk,"(246, 196)",102,Brooklyn,5.58598028478,1.01158075216
8,Aska,40.7217263,-73.9582683,4.3,3.0,ChIJUwatTl1ZwokRUDXxYoFa-hk,"(240, 194)",99,Brooklyn,5.42168674699,0.981828377099
9,Traif,40.7105965,-73.9589457,4.4,3.0,ChIJveB2ceBbwokRlg4WCe7xoqM,"(239, 185)",98,Brooklyn,5.36692223439,0.971910918743
10,Diner,40.7106879,-73.9655837,4.2,2.0,ChIJvzYmKtlbwokRHye6SmfknDM,"(234, 186)",85,Brooklyn,4.65498357065,0.842983960136
11,La Cigogne,40.6835,-73.9992964,4.6,2.0,ChIJJ13o4FtawokR6Nk-NchRJIM,"(207, 164)",65,Brooklyn,3.55969331873,0.644634793044
12,Emily,40.6835738,-73.9664376,4.4,2.0,ChIJYeJEs6RbwokRI9OjBP6hYG8,"(233, 164)",62,Brooklyn,3.39539978094,0.61488241798
13,Dover,40.680113,-73.9971229,4.1,3.0,ChIJHZHe_q9cwokRLp3Yjj3BjxM,"(209, 161)",61,Brooklyn,3.34063526835,0.604964959627
14,Franny's,40.6759502,-73.9718375,3.9,2.0,ChIJFfWdcahbwokRn3GElHMDJog,"(229, 158)",58,Brooklyn,3.17634173056,0.575212584563
15,Kichin,40.7085594,-73.9579173,4.8,0.0,ChIJFZNo6-BbwokRGH6QhWQtF1E,"(240, 184)",56,Brooklyn,3.06681270537,0.555377667854
16,Prime Meats,40.6771731,-73.9981789,4.4,2.0,ChIJL6umNvZawokRxk4izXzG9A4,"(208, 159)",54,Brooklyn,2.95728368018,0.535542751145
17,Rose's,40.6789834,-73.9734269,4.0,2.0,ChIJYcr4z6hbwokRCJzk0UHRm4A,"(227, 160)",54,Brooklyn,2.95728368018,0.535542751145
18,Roberta's,40.7050766,-73.9335923,4.4,2.0,ChIJ87Mc5wBcwokRAj4JNcwppaE,"(259, 181)",51,Brooklyn,2.79299014239,0.505790376081
19,The Elm,40.7209522,-73.9556741,4.2,2.0,ChIJq7ijyFxZwokRHmhIYot48d0,"(242, 194)",50,Brooklyn,2.73822562979,0.495872917726
20,Nightingale Nine,40.6805921,-73.9944041,4.1,1.0,ChIJFZZxKlhawokR6UnsABUXZPY,"(211, 162)",45,Brooklyn,2.46440306681,0.446285625953
21,Marta,40.7444257,-73.9845714,4.2,2.0,ChIJK0fVw6dZwokRZuF-vAUC4II,"(219, 212)",2012,Manhattan,2.22151067142,2.22151067142
22,Mile End Delicatessen,40.6874553,-73.9870655,4.2,2.0,ChIJLb9vlE1awokRL4Ume5zpejQ,"(217, 167)",39,Brooklyn,2.13581599124,0.386780875827
23,Amali,40.7633402,-73.9685995,4.0,3.0,ChIJB6L7g-9YwokRTm44C_ToKdw,"(231, 228)",1926,Manhattan,2.12655544392,2.12655544392
24,Bar Sardine,40.7343684,-74.0028567,4.9,0.0,ChIJ9azGZ5RZwokRKkfKjaYGszg,"(204, 204)",1885,Manhattan,2.08128609127,2.08128609127
25,La Vara,40.6878015,-73.9957536,4.4,3.0,ChIJVT21BE9awokR_TVyGHmHvtU,"(210, 167)",36,Brooklyn,1.97152245345,0.357028500763
26,Dirty French,40.721946,-73.987285,4.2,3.0,ChIJrXEiw4NZwokRxp0-JU8sJ-I,"(216, 195)",1657,Manhattan,1.82954432532,1.82954432532
27,Katz's Deli,40.7222582,-73.9874166,4.0,2.0,ChIJCar0f49ZwokR6ozLV-dHNTE,"(216, 195)",1657,Manhattan,1.82954432532,1.82954432532
28,Betony,40.7641992,-73.9762526,4.4,3.0,ChIJqwPcpvBYwokRIaJmBY0yS6Q,"(225, 228)",1512,Manhattan,1.66944539522,1.66944539522
29,Quality Italian,40.764518,-73.976763,4.5,3.0,ChIJsTgQqfBYwokRU3iwRQ4U0Hc,"(225, 228)",1512,Manhattan,1.66944539522,1.66944539522
30,Aquavit,40.7608764,-73.9720004,4.4,4.0,ChIJWfonJ_tYwokRwIGb6Im403E,"(229, 226)",1472,Manhattan,1.62528017313,1.62528017313
31,The Cynical Schnauzer,40.6830634,-73.9656912,4.4,0.0,ChIJpy5GqaRbwokRsuQzQSDbHvg,"(234, 163)",29,Brooklyn,1.58817086528,0.287606292281
32,Upland,40.7418346,-73.9848395,4.4,2.0,ChIJWVD7FadZwokRs_pS6XY7VOU,"(218, 210)",1433,Manhattan,1.58221908158,1.58221908158
33,Rotisserie Georgette,40.764315,-73.9716858,4.4,3.0,ChIJAUorGfBYwokRzWgbplACCGE,"(229, 228)",1409,Manhattan,1.55571994833,1.55571994833
34,Eleven Madison Park,40.74169,-73.9872068,4.6,4.0,ChIJEWbXz6ZZwokRLKmKrtPfVFY,"(216, 210)",1301,Manhattan,1.43647384867,1.43647384867
35,Salvation Taco,40.7494263,-73.9765556,3.7,2.0,ChIJaSDr-ANZwokR_Ae8YjX2UwA,"(225, 216)",1239,Manhattan,1.36801775442,1.36801775442
36,Han Dynasty,40.7322262,-73.9882804,4.5,1.0,ChIJx3Nrt55ZwokRP3Xiw0TGnKE,"(216, 203)",1238,Manhattan,1.36691362387,1.36691362387
37,Mighty Bowl,40.7297998,-74.0003609,4.6,0.0,ChIJ1ZcihpFZwokReWLhAob2PNM,"(206, 201)",1228,Manhattan,1.35587231834,1.35587231834
38,Lure Fishbar,40.7246651,-73.9982612,4.0,3.0,ChIJgS2D-o5ZwokRgS5knl8ipzI,"(208, 197)",1208,Manhattan,1.33378970729,1.33378970729
39,Umami Burger,40.734368,-73.998456,4.3,1.0,ChIJA5Z08pZZwokRHvZlQs3NjAc,"(207, 204)",1177,Manhattan,1.29956166017,1.29956166017
40,The NoMad,40.7449586,-73.9885113,4.6,4.0,ChIJ-eorCqZZwokRQktxkq1xNfs,"(215, 213)",1161,Manhattan,1.28189557133,1.28189557133
41,The NoMad Bar,40.7449586,-73.9885113,4.4,2.0,ChIJOwmgDaZZwokRgRmkjt8DbLw,"(215, 213)",1161,Manhattan,1.28189557133,1.28189557133
42,Claudette,40.7331929,-73.9959672,4.2,3.0,ChIJgWo3QZdZwokRD0PBopbkTV0,"(209, 203)",1123,Manhattan,1.23993861034,1.23993861034
43,Bar Boulud,40.771904,-73.981955,4.0,3.0,ChIJG8Pwm_VYwokRtPc8Rwrhdpg,"(221, 234)",1111,Manhattan,1.22668904371,1.22668904371
44,Whiskey Soda Lounge NY,40.6877909,-74.0011472,3.9,2.0,ChIJvRaAr1xawokRqr5eYFW3eos,"(205, 167)",22,Brooklyn,1.20481927711,0.2181840838
45,Pok Pok Ny,40.6875976,-74.0012512,4.2,2.0,ChIJycIXvVxawokRRHMvIHVBMPs,"(205, 167)",22,Brooklyn,1.20481927711,0.2181840838
46,Hometown Bar-B-Que,40.674858,-74.016021,4.5,2.0,ChIJ0VWwJI9awokRoiFWFqYZMQ8,"(193, 157)",22,Brooklyn,1.20481927711,0.2181840838
47,Balthazar,40.722655,-73.998372,4.2,3.0,ChIJt7fMLIlZwokRCRtM9bNDg78,"(208, 195)",1084,Manhattan,1.1968775188,1.1968775188
48,Torishin,40.7650392,-73.987167,4.2,0.0,ChIJlUslZldYwokRcn6kVUP-9Io,"(216, 229)",1050,Manhattan,1.15933708002,1.15933708002
49,Midwinter Kitchen,40.7354667,-73.98313,4.8,0.0,ChIJYRiXqgpZwokRTD7-XXgHSqo,"(220, 205)",1042,Manhattan,1.1505040356,1.1505040356
50,Momosan Ramen & Sake,40.7499261,-73.9774455,4.5,2.0,ChIJucFsVwFZwokRDgJNUSyXpQE,"(224, 217)",1041,Manhattan,1.14939990504,1.14939990504
51,Santina,40.7396079,-74.008443,3.9,3.0,ChIJ0184O8BZwokRn7Xj3YHRnGs,"(200, 209)",1015,Manhattan,1.12069251068,1.12069251068
52,Oiji,40.727263,-73.985845,4.2,3.0,ChIJ9_VJHp1ZwokRRhe-9rLmBb8,"(218, 199)",950,Manhattan,1.04892402478,1.04892402478
53,Temple Canteen,40.7526288,-73.8164969,4.4,2.0,ChIJK2i9vj9gwokRmSSSQPoeGb8,"(353, 219)",3,Queens,1.03806228374,0.0374411910915
54,Mission Cantina,40.721504,-73.9883193,3.4,2.0,ChIJ4YU4_INZwokRQHiBwj-zVhE,"(216, 194)",940,Manhattan,1.03788271925,1.03788271925
55,Kang Ho Dong Baekjeong,40.747022,-73.9850161,4.2,3.0,ChIJGbyHW6hZwokRIGp7M62XV3E,"(218, 214)",939,Manhattan,1.0367785887,1.0367785887
56,Juni,40.7460822,-73.9852007,4.5,4.0,ChIJ90MUcKhZwokRrn9xnAzOh1s,"(218, 214)",939,Manhattan,1.0367785887,1.0367785887
57,Estela,40.7246413,-73.994739,4.6,3.0,ChIJf3f-f4VZwokRcBCEciTOGRQ,"(210, 197)",932,Manhattan,1.02904967483,1.02904967483
58,Maysville,40.7442416,-73.9894991,4.3,3.0,ChIJbafTz6VZwokRMOYaspUwj28,"(215, 212)",898,Manhattan,0.991509236052,0.991509236052
59,District Social,40.753642,-73.991491,4.8,0.0,ChIJr5IvVKxZwokRoWuJn_7VBG4,"(213, 220)",892,Manhattan,0.984884452738,0.984884452738
60,Toro,40.7431839,-74.008228,4.1,2.0,ChIJK1j_xcBZwokR1swlgiseyFM,"(200, 211)",878,Manhattan,0.969426625004,0.969426625004
61,Benson's NYC,40.7219684,-73.9866613,4.8,0.0,ChIJx8eryINZwokRRjFbQFqzpxg,"(217, 195)",878,Manhattan,0.969426625004,0.969426625004
62,ABC Cocina,40.7379803,-73.9892841,4.1,3.0,ChIJM_l7L6JZwokRl65Tmre0xm8,"(215, 207)",848,Manhattan,0.936302708432,0.936302708432
63,Glasserie,40.737722,-73.9561763,4.6,2.0,ChIJf9j4STxZwokRc9PDhX2eoHw,"(241, 207)",17,Brooklyn,0.930996714129,0.168596792027
64,Jane,40.7273813,-74.0002463,3.9,2.0,ChIJX4zeCI5ZwokRePXXoFv-AXY,"(206, 199)",843,Manhattan,0.93078205567,0.93078205567
65,Carbone,40.7279756,-74.0002192,4.3,4.0,ChIJmSvG_ZFZwokRTOFeiLXzkmA,"(206, 199)",843,Manhattan,0.93078205567,0.93078205567
66,Emilio's Ballato,40.7246191,-73.9945239,4.7,3.0,ChIJRQqJgYVZwokRfJB16sxh1Pg,"(211, 197)",837,Manhattan,0.924157272356,0.924157272356
67,Black Seed,40.7209046,-73.9946778,4.1,1.0,ChIJV1BBkp1ZwokRpjqvV01uiqg,"(210, 194)",804,Manhattan,0.887720964127,0.887720964127
68,Kura,40.726702,-73.983571,4.9,0.0,ChIJmUJ0XZ1ZwokR92Sy6lfEnpU,"(219, 198)",788,Manhattan,0.870054875288,0.870054875288
69,Lafayette Grand Café & Bakery,40.7275934,-73.9937017,4.1,3.0,ChIJBVtTt5pZwokR48CgdYqHma8,"(211, 199)",787,Manhattan,0.868950744736,0.868950744736
70,The Simone,40.7768459,-73.9569627,4.3,3.0,ChIJgYdbzr1YwokRueRDWsZY_8w,"(241, 238)",767,Manhattan,0.846868133688,0.846868133688
71,Mighty Quinn's BBQ,40.7275864,-73.9886757,4.4,1.0,ChIJmY35mpxZwokRqGzYDD-4sJI,"(215, 199)",762,Manhattan,0.841347480926,0.841347480926
72,RedFarm,40.7341954,-74.0064599,4.4,3.0,ChIJx3LV_bWAj4ARlW17cSsmwp4,"(201, 204)",758,Manhattan,0.836930958717,0.836930958717
73,The Dead Rabbit Grocery and Grog,40.7033,-74.011034,4.5,3.0,ChIJIRiJaRRawokR2KyQ984qa-o,"(197, 180)",733,Manhattan,0.809327694907,0.809327694907
74,Huertas,40.7268446,-73.9862162,4.0,3.0,ChIJ0bez3pxZwokR1q3LfQLrRDU,"(217, 198)",729,Manhattan,0.804911172697,0.804911172697
75,Empellón Cocina,40.7267982,-73.9862868,4.5,3.0,ChIJt2oI2ZxZwokRrAJvZb7wPSM,"(217, 198)",729,Manhattan,0.804911172697,0.804911172697
76,Upstate,40.7263446,-73.9865178,4.6,2.0,ChIJ-TjK0ZxZwokRY05GdFO1_RI,"(217, 198)",729,Manhattan,0.804911172697,0.804911172697
77,Bar Bolonat,40.7376571,-74.0058562,4.3,2.0,ChIJA3FKT5VZwokRF7-E3484Cnc,"(202, 207)",720,Manhattan,0.794973997725,0.794973997725
78,Excuse My French,40.7184584,-73.9898583,4.8,0.0,ChIJu5bcJIdZwokRTDziDx5WAAA,"(214, 192)",707,Manhattan,0.780620300544,0.780620300544
79,Khe-Yo,40.7169041,-74.0085972,4.6,2.0,ChIJb6jHpx9awokRj6rvb31V6WM,"(199, 190)",689,Manhattan,0.760745950601,0.760745950601
80,Ichimura at Brushstroke,40.7166218,-74.0089449,4.7,4.0,ChIJKVhcBx9awokRPkHPBYaXU14,"(199, 190)",689,Manhattan,0.760745950601,0.760745950601
81,Aldo Sohm Wine Bar,40.7614804,-73.9814283,4.4,2.0,ChIJFbIdkvhYwokRAicwcVjJ2io,"(221, 226)",686,Manhattan,0.757433558944,0.757433558944
82,The Spotted Pig,40.7356354,-74.006691,4.1,3.0,ChIJ89yJLetZwokRbzTj3_V2LAE,"(201, 205)",686,Manhattan,0.757433558944,0.757433558944
83,The Clam,40.7303227,-74.0066312,4.2,2.0,ChIJlbeHNO1ZwokRMmA4nr55vBw,"(201, 201)",676,Manhattan,0.74639225342,0.74639225342
84,élan,40.7388132,-73.9884539,4.1,3.0,ChIJ8T1deaFZwokRTtKgQXspQdY,"(215, 208)",676,Manhattan,0.74639225342,0.74639225342
85,Piora,40.7306321,-74.0065901,4.7,3.0,ChIJ68STMu1ZwokRZE3E0KQLG28,"(201, 201)",676,Manhattan,0.74639225342,0.74639225342
86,Gramercy Tavern,40.7384596,-73.9885037,4.6,4.0,ChIJvSQIgqFZwokRFYQbJdzceSs,"(215, 208)",676,Manhattan,0.74639225342,0.74639225342
87,Rosemary's,40.7348221,-73.999831,4.2,2.0,ChIJCW5gj5ZZwokRtfK4UZxkcr4,"(206, 205)",674,Manhattan,0.744183992315,0.744183992315
88,Cherche Midi,40.7240971,-73.9930672,3.9,2.0,ChIJpzIwwPpYwokRPAKAx9TVHrY,"(212, 196)",640,Manhattan,0.706643553534,0.706643553534
89,The East Pole Kitchen & Bar,40.7662994,-73.9657144,3.9,3.0,ChIJbY3-ye5YwokRWOG8XH8DqSw,"(234, 230)",636,Manhattan,0.702227031324,0.702227031324
90,Burger & Lobster,40.740156,-73.993366,4.6,2.0,ChIJI_roPaNZwokRfwq8_je3mZg,"(212, 209)",634,Manhattan,0.700018770219,0.700018770219
91,Uncle Boons,40.7212894,-73.994373,4.6,2.0,ChIJ5dgFHIZZwokRlGU38pcvZdU,"(211, 194)",630,Manhattan,0.69560224801,0.69560224801
92,HIROHISA,40.7245498,-74.0030422,4.7,3.0,ChIJXW6IXYxZwokR-i9saEWMIBY,"(204, 197)",623,Manhattan,0.687873334143,0.687873334143
93,Dominique Ansel Bakery,40.7252094,-74.002946,4.3,0.0,ChIJP0KOWoxZwokRmvPiQAIaH1A,"(204, 197)",623,Manhattan,0.687873334143,0.687873334143
