Name,Lat,Long,burs,grid,counts,percent
el aguila,40.867927,-73.9005185,Bronx,"(286, 311)",0.0,0.0
bamboo lounge,40.8286474,-73.9170795,Bronx,"(272, 280)",1.0,1.0
raine lounge,40.8801461,-73.9030847,Bronx,"(284, 321)",1.0,1.0
salsa con fuego,40.8623691,-73.9114223,Bronx,"(277, 306)",1.0,1.0
silhouette,40.8806733,-73.9024811,Bronx,"(284, 321)",1.0,1.0
cafe omar,40.6434464,-73.9490472,Brooklyn,"(247, 132)",0.0,0.0
barclays center,40.6826571,-73.9752822,Brooklyn,"(226, 163)",1.0,0.0192307692308
freehold,40.7136054,-73.965905,Brooklyn,"(233, 188)",3.0,0.0576923076923
barbes,40.6678,-73.98384,Brooklyn,"(219, 151)",3.0,0.0576923076923
milk river ,40.680362,-73.962419,Brooklyn,"(236, 161)",3.0,0.0576923076923
the well brooklyn,40.7084722,-73.9378744,Brooklyn,"(256, 184)",4.0,0.0769230769231
buzz night club,40.6638499,-73.9586273,Brooklyn,"(239, 148)",5.0,0.0961538461538
the buzz night club,40.6638499,-73.9586273,Brooklyn,"(239, 148)",5.0,0.0961538461538
viva toro,40.7169874,-73.9614383,Brooklyn,"(237, 191)",5.0,0.0961538461538
pete's candy store,40.71809,-73.950325,Brooklyn,"(246, 191)",6.0,0.115384615385
island cz cafe,40.6806634,-73.9555734,Brooklyn,"(242, 162)",6.0,0.115384615385
studio 299,40.7154821,-73.9341072,Brooklyn,"(259, 189)",6.0,0.115384615385
kimoto rooftop,40.691692,-73.984649,Brooklyn,"(218, 170)",7.0,0.134615384615
brooklyn terrace,40.6914679,-73.9846796,Brooklyn,"(218, 170)",7.0,0.134615384615
simplicity bar and lounge,40.6822491,-73.9290779,Brooklyn,"(263, 163)",8.0,0.153846153846
woodland,40.680177,-73.9749578,Brooklyn,"(226, 161)",9.0,0.173076923077
brooklyn bowl,40.7218813,-73.9573946,Brooklyn,"(240, 194)",13.0,0.25
dram,40.7113494873,-73.9607696533,Brooklyn,"(238, 186)",14.0,0.269230769231
babys all right,40.7100002,-73.9635342,Brooklyn,"(235, 185)",27.0,0.519230769231
iona,40.71416,-73.961097,Brooklyn,"(237, 188)",29.0,0.557692307692
hope garage,40.7116629,-73.951627,Brooklyn,"(245, 186)",33.0,0.634615384615
verboten,40.7219603,-73.9589984,Brooklyn,"(239, 195)",34.0,0.653846153846
output night club,40.7222918,-73.9578302,Brooklyn,"(240, 195)",52.0,1.0
la marina nyc,40.8690083,-73.9320983,Manhattan,"(260, 312)",0.0,0.0
randalls island park,40.796073,-73.9227907,Manhattan,"(268, 254)",0.0,0.0
cliff lounge,40.8609016,-73.9203033,Manhattan,"(270, 305)",1.0,0.00398406374502
opus lounge,40.8610637,-73.9200622,Manhattan,"(270, 305)",1.0,0.00398406374502
stage 48,40.7607442,-74.002077,Manhattan,"(205, 225)",1.0,0.00398406374502
tequila bar & grill ,40.8567915,-73.9322943,Manhattan,"(260, 302)",1.0,0.00398406374502
