,Name,Lat,Long,counts,burs,grid,percent,Name_Yelp,url
0,el aguila,40.867927,-73.9005185,19.0,Bronx,"(286, 311)",0.218390804598,El Aguila,http://www.yelp.com/biz/el-aguila-new-york-3?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
1,raine lounge,40.8801461,-73.9030847,30.0,Bronx,"(284, 321)",0.344827586207,Raine Lounge,http://www.yelp.com/biz/raine-lounge-bronx?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
2,silhouette,40.8806733,-73.9024811,30.0,Bronx,"(284, 321)",0.344827586207,Silhouette Restaurant & Lounge,http://www.yelp.com/biz/silhouette-restaurant-and-lounge-bronx?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
3,bamboo lounge,40.8286474,-73.9170795,31.0,Bronx,"(272, 280)",0.35632183908,Bamboo,http://www.yelp.com/biz/bamboo-brooklyn-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
4,salsa con fuego,40.8623691,-73.9114223,87.0,Bronx,"(277, 306)",1.0,Salsa Con Fuego,http://www.yelp.com/biz/salsa-con-fuego-bronx?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
5,barclays center,40.6826571,-73.9752822,20.0,Brooklyn,"(226, 163)",0.00700525394046,Barclays Center,http://www.yelp.com/biz/barclays-center-brooklyn-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
6,cafe omar,40.6434464,-73.9490472,49.0,Brooklyn,"(247, 132)",0.0171628721541,Omar's Cafe,http://www.yelp.com/biz/omars-cafe-newark?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
7,milk river ,40.680362,-73.962419,104.0,Brooklyn,"(236, 161)",0.0364273204904,Milk River,http://www.yelp.com/biz/milk-river-brooklyn-3?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
8,buzz night club,40.6638499,-73.9586273,127.0,Brooklyn,"(239, 148)",0.0444833625219,The Buzz Nightclub,http://www.yelp.com/biz/the-buzz-nightclub-brooklyn-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
9,studio 299,40.7154821,-73.9341072,169.0,Brooklyn,"(259, 189)",0.0591943957968,Studio 299,http://www.yelp.com/biz/studio-299-east-williamsburg?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
10,barbes,40.6678,-73.98384,185.0,Brooklyn,"(219, 151)",0.0647985989492,Barbes,http://www.yelp.com/biz/barbes-brooklyn?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
11,viva toro,40.7169874,-73.9614383,191.0,Brooklyn,"(237, 191)",0.0669001751313,Viva Toro,http://www.yelp.com/biz/viva-toro-brooklyn?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
12,freehold,40.7136054,-73.965905,258.0,Brooklyn,"(233, 188)",0.0903677758319,FREEHOLD,http://www.yelp.com/biz/freehold-brooklyn?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
